"Date","Symbol","Name","Signal","Score","Entry Price","Target","Stop Loss","Status","PnL","PnL %","Days Held","Reason"
"2026-05-15","NLCINDIA","NLC India Ltd.","BUY","78","358.2","374.23","343.94","sl_hit","-14.26","-3.98","4","Outperforming Nifty by +10.7% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 4.7%) — wider SL may be needed"
"2026-05-15","SAIL","Steel Authority of India Ltd.","BUY","75","198.97","207.87","191.05","sl_hit","-7.92","-3.98","4","Outperforming Nifty by +9.1% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-28","ATUL","Atul Ltd.","BUY","70","6926","7235.94","6650.17","overdue","95.5","1.38","18","Outperforming Nifty by +7.7% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly | Closed overdue: max hold exceeded (mark-to-market at last price)."
"2026-04-20","HDBFS","HDB Financial Services Ltd.","BUY","73","676.95","707.24","649.99","overdue","-3.05","-0.45","26","Closed overdue: max hold exceeded (mark-to-market at last price)."
"2026-05-07","AJANTPHARM","Ajanta Pharmaceuticals Ltd.","BUY","78","3070.3","3207.69","2948.02","target_hit","137.39","4.47","8","Outperforming Nifty by +8.0% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-05-08","WOCKPHARMA","Wockhardt Ltd.","BUY","75","1625.9","1698.66","1561.15","sl_hit","-64.75","-3.98","6","Outperforming Nifty by +15.5% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 4.3%) — wider SL may be needed"
"2026-04-30","RBLBANK","RBL Bank Ltd.","BUY","78","338.25","353.39","324.78","sl_hit","-13.47","-3.98","13","Outperforming Nifty by +9.4% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-04-28","SHYAMMETL","Shyam Metalics and Energy Ltd.","BUY","85","890.6","930.46","855.13","target_hit","39.86","4.48","14","Outperforming Nifty by +10.2% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-28","SUNPHARMA","Sun Pharmaceutical Industries Ltd.","BUY","82","1755.2","1860.7","1710.07","target_hit","105.5","6.01","14","Outperforming Nifty by +7.1% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-05-04","ACUTAAS","Acutaas Chemicals Ltd.","BUY","76","2593.9","2755.74","2532.66","target_hit","161.84","6.24","5","Outperforming Nifty by +9.0% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 4.4%) — wider SL may be needed"
"2026-05-04","GESHIP","Great Eastern Shipping Co. Ltd.","BUY","76","1543","1595.54","1466.38","target_hit","52.54","3.41","5","Outperforming Nifty by +7.6% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-05-04","NEULANDLAB","Neuland Laboratories Ltd.","STRONG BUY","75","15837","16545.71","15206.29","target_hit","708.71","4.48","3","Outperforming Nifty by +8.8% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 4.0%) — wider SL may be needed"
"2026-04-17","HDFCAMC","HDFC Asset Management Company Ltd.","BUY","70","2712.6","2833.99","2604.57","target_hit","121.39","4.48","20",""
"2026-04-28","INDUSINDBK","IndusInd Bank Ltd.","BUY","70","889.45","929.25","854.02","target_hit","39.8","4.47","7","Outperforming Nifty by +5.9% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-30","JAINREC","Jain Resource Recycling Ltd.","BUY","78","459.8","480.38","441.49","target_hit","20.58","4.48","5","Outperforming Nifty by +13.3% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-04-28","FLUOROCHEM","Gujarat Fluorochemicals Ltd.","BUY","70","3390.9","3454.25","3293.09","target_hit","63.35","1.87","3","Outperforming Nifty by +5.9% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-17","DCMSHRIRAM","DCM Shriram Ltd.","BUY","70","1194","1247.43","1146.45","target_hit","53.43","4.47","14",""
"2026-04-23","SAILIFE","Sai Life Sciences Ltd.","BUY","88","1039.5","1086.02","998.1","target_hit","46.52","4.48","8","Outperforming Nifty by +6.9% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-04-28","CUB","City Union Bank Ltd.","BUY","70","281.6","294.2","270.39","sl_hit","-11.21","-3.98","3","Outperforming Nifty by +8.4% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: High volatility (ATR 4.1%) — wider SL may be needed"
"2026-04-30","TENNIND","Tenneco Clean Air India Ltd.","BUY","80","594.8","621.42","571.11","target_hit","26.62","4.48","1","Outperforming Nifty by +5.0% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 4.2%) — wider SL may be needed"
"2026-04-28","CHENNPETRO","Chennai Petroleum Corporation Ltd.","BUY","81","1062","1109.52","1019.71","target_hit","47.52","4.47","2","Outperforming Nifty by +6.0% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: High volatility (ATR 5.5%) — wider SL may be needed"
"2026-04-28","RBLBANK","RBL Bank Ltd.","BUY","73","324","338.5","312.93","target_hit","14.5","4.48","2","Outperforming Nifty by +3.2% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Near 52-week high — limited upside, watch for reversal"
"2026-04-28","INDIACEM","India Cements Ltd.","BUY","70","424.55","443.55","407.64","sl_hit","-16.91","-3.98","2","Outperforming Nifty by +3.5% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-28","HINDZINC","Hindustan Zinc Ltd.","BUY","77","624.6","652.55","599.73","sl_hit","-24.87","-3.98","2","Outperforming Nifty by +8.2% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price > EMA20 > EMA50 — short-term bullish alignment | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-03-30","ONGC","Oil & Natural Gas Corporation Ltd.","BUY","68","284.65","297.39","273.32","target_hit","12.74","4.48","30",""
"2026-04-22","RADICO","Radico Khaitan Ltd","BUY","70","3224","3368.27","3095.6","target_hit","144.27","4.47","7",""
"2026-04-15","SARDAEN","Sarda Energy and Minerals Ltd.","BUY","72","582.15","608.2","558.97","target_hit","26.05","4.47","13",""
"2026-04-20","GSPL","Gujarat State Petronet Ltd.","BUY","73","271.75","283.91","260.93","target_hit","12.16","4.47","4",""
"2026-04-20","RRKABEL","R R Kabel Ltd.","BUY","73","1502","1569.21","1442.18","sl_hit","-59.82","-3.98","4",""
"2026-04-23","DRREDDY","Dr. Reddy's Laboratories Ltd.","STRONG BUY","85","1302","1360.26","1250.15","sl_hit","-51.85","-3.98","1","Outperforming Nifty by +6.6% (5d) — institutional accumulation | MACD bullish — positive momentum confirmed | Price above 200 EMA — long-term uptrend intact | Risk: Market reversal could invalidate setup — honour stop loss strictly"
"2026-04-21","MMTC","MMTC Ltd.","BUY","70","66.73","69.72","64.08","target_hit","2.99","4.48","2",""
"2026-04-16","JSWENERGY","JSW Energy Ltd.","BUY","80","530.45","554.18","509.32","target_hit","23.73","4.47","6",""
"2026-04-17","LGEINDIA","LG Electronics India Ltd.","BUY","70","1551.5","1620.93","1489.71","target_hit","69.43","4.48","5",""
"2026-04-10","CRAFTSMAN","Craftsman Automation Ltd.","BUY","75","7500","7835.62","7201.31","target_hit","335.62","4.47","11",""
"2026-04-20","GMDCLTD","Gujarat Mineral Development Corporation Ltd.","BUY","75","706.55","728.87","669.87","target_hit","22.32","3.16","1",""
"2026-04-15","NAVA","Nava Ltd.","BUY","85","619.75","648.32","595.84","target_hit","28.57","4.61","3",""
"2026-04-10","NAM-INDIA","Nippon Life India Asset Management Ltd.","BUY","73","922.2","979.77","900.45","target_hit","57.57","6.24","8",""
"2026-04-16","HDBFS","HDB Financial Services Ltd.","BUY","78","696.1","710.95","653.4","target_hit","14.85","2.13","1",""
"2026-04-09","NSLNISP","NMDC Steel Ltd.","BUY","82","40.71","42.54","39.09","target_hit","1.83","4.5","7",""
"2026-04-10","BHEL","Bharat Heavy Electricals Ltd.","BUY","77","281.5","293.73","269.95","target_hit","12.23","4.34","6",""
"2026-04-10","ITI","ITI Ltd.","BUY","80","294.41","307.58","282.68","sl_hit","-11.73","-3.98","4",""
"2026-04-13","SARDAEN","Sarda Energy and Minerals Ltd.","BUY","72","573.8","599.48","550.95","target_hit","25","4","1",""
"2026-04-08","NMDC","NMDC Ltd.","BUY","73","81.74","85.4","78.53","target_hit","3.66","4.48","3",""
"2026-04-09","ASHOKLEY","Ashok Leyland Ltd.","BUY","77","171.09","177.91","168.61","target_hit","6.82","3.99","2",""
"2026-04-03","NLCINDIA","NLC India Ltd.","BUY","83","278.6","291.07","267.51","sl_hit","-11.09","-3.98","7",""
"2026-04-03","GPIL","Godawari Power & Ispat Ltd.","BUY","73","276.75","289.13","265.73","target_hit","12.38","4.47","6",""
"2026-04-08","WELCORP","Welspun Corp Ltd.","BUY","77","879.15","918.49","844.14","target_hit","39.34","4.47","1",""
"2026-04-01","TRAVELFOOD","Travel Food Services Ltd.","BUY","75","1248.2","1304.06","1198.49","target_hit","55.86","4.48","8",""
"2026-04-08","NSLNISP","NMDC Steel Ltd.","BUY","80","39.42","39.77","37.85","target_hit","0.35","0.89","1",""
"2026-04-08","ADANIGREEN","Adani Green Energy Ltd.","STRONG BUY","83","925.35","951.64","888.49","target_hit","26.29","2.84","1",""
"2026-04-03","LLOYDSME","Lloyds Metals And Energy Ltd.","BUY","72","1388.3","1450.42","1333.01","target_hit","62.12","4.47","5",""
"2026-04-06","CARBORUNIV","Carborundum Universal Ltd.","BUY","71","839.2","863.58","805.78","target_hit","24.38","2.91","2",""
"2026-04-03","SAIL","Steel Authority of India Ltd.","BUY","85","155.16","162.38","151.82","sl_hit","-3.34","-2.15","4",""
"2026-03-30","EMCURE","Emcure Pharmaceuticals Limited","BUY","73","1598","1673.27","1537.82","sl_hit","-60.18","-3.77","3",""
"2026-04-02","CARBORUNIV","Carborundum Universal Ltd.","BUY","71","805.5","841.55","780.85","target_hit","36.05","4.48","1",""
"2026-04-02","ZFCVINDIA","ZF Commercial Vehicle Control Systems India Ltd.","BUY","65","14261","14259.19","13913.66","target_hit","-1.81","-0.01","1",""
"2026-03-30","IPCALAB","IPCA Laboratories Limited","BUY","73","1580.9","1651.64","1531.06","sl_hit","-49.84","-3.15","2",""
"2026-03-30","SAMMAANCAP","Sammaan Capital Limited","BUY","80","146.59","153","142.43","target_hit","6.41","4.37","2",""
"2026-03-30","TRAVELFOOD","Travel Food Services Limited","BUY","70","1178","1232.87","1152.74","target_hit","73","6.2","1",""
"2026-03-30","DMART","Avenue Supermarts Limited","BUY","71","3920.4","3993.87","3828.57","target_hit","73.47","1.87","1",""
"2026-03-27","INOXINDIA","INOX India Limited","STRONG BUY","79","1211.84","1250.21","1189.46","target_hit","38.37","3.17","3",""
